PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Sam Hauser	BOS	BOS vs. DEN	03/02/2025	W	17	8	3	4	75.0	2	3	66.7	0	0	-	1	2	3	1	0	1	1	0	3	15.1
Payton Pritchard	BOS	BOS vs. DEN	03/02/2025	W	26	11	4	7	57.1	3	5	60.0	0	0	-	0	1	1	3	0	0	0	1	10	16.7
Neemias Queta	BOS	BOS vs. DEN	03/02/2025	W	17	8	4	5	80.0	0	0	-	0	0	-	3	7	10	1	0	0	0	4	11	21.5
Derrick White	BOS	BOS vs. DEN	03/02/2025	W	33	17	6	13	46.2	5	11	45.5	0	0	-	1	2	3	2	2	0	0	2	6	29.6
Jaylen Brown	BOS	BOS vs. DEN	03/02/2025	W	37	22	6	15	40.0	2	4	50.0	8	9	88.9	0	5	5	8	2	2	5	2	10	47.0
Luke Kornet	BOS	BOS vs. DEN	03/02/2025	W	31	8	3	5	60.0	0	0	-	2	4	50.0	1	0	1	4	0	1	0	2	-4	18.2
Jayson Tatum	BOS	BOS vs. DEN	03/02/2025	W	38	16	4	15	26.7	1	7	14.3	7	8	87.5	0	11	11	7	0	0	6	5	-2	33.7
Al Horford	BOS	BOS vs. DEN	03/02/2025	W	35	19	7	12	58.3	1	3	33.3	4	4	100	3	5	8	0	3	0	2	1	4	35.6
Jayson Tatum	BOS	BOS vs. CLE	02/28/2025	L	41	46	19	37	51.4	4	12	33.3	4	5	80.0	5	11	16	9	0	3	3	4	5	84.7
Al Horford	BOS	BOS vs. CLE	02/28/2025	L	38	5	2	4	50.0	1	1	100	0	0	-	1	6	7	2	0	0	1	0	4	15.4
Payton Pritchard	BOS	BOS vs. CLE	02/28/2025	L	25	6	2	4	50.0	2	4	50.0	0	0	-	0	0	0	1	1	0	2	2	-36	8.5
Jaylen Brown	BOS	BOS vs. CLE	02/28/2025	L	34	37	13	24	54.2	4	6	66.7	7	10	70.0	4	1	5	2	0	0	3	4	10	43.0
Luke Kornet	BOS	BOS vs. CLE	02/28/2025	L	19	0	0	0	-	0	0	-	0	0	-	2	3	5	0	1	2	1	4	-26	14.0
Sam Hauser	BOS	BOS vs. CLE	02/28/2025	L	38	6	2	8	25.0	2	6	33.3	0	0	-	2	4	6	1	0	0	0	2	18	14.7
Derrick White	BOS	BOS vs. CLE	02/28/2025	L	41	16	5	12	41.7	4	10	40.0	2	2	100	0	1	1	5	3	0	1	3	-2	32.7
Derrick White	BOS	BOS @ DET	02/26/2025	L	31	18	6	12	50.0	5	10	50.0	1	2	50.0	1	2	3	3	0	0	2	2	-11	24.1
Payton Pritchard	BOS	BOS @ DET	02/26/2025	L	31	18	6	10	60.0	5	8	62.5	1	1	100	1	2	3	4	1	0	1	0	-5	29.6
Kristaps Porziņģis	BOS	BOS @ DET	02/26/2025	L	26	11	4	11	36.4	2	3	66.7	1	3	33.3	0	2	2	1	3	0	2	5	-24	21.9
Jrue Holiday	BOS	BOS @ DET	02/26/2025	L	31	4	2	10	20.0	0	5	0.0	0	0	-	0	2	2	6	0	0	3	2	-11	12.4
Al Horford	BOS	BOS @ DET	02/26/2025	L	30	9	3	10	30.0	3	9	33.3	0	0	-	1	9	10	2	2	1	0	1	-14	33.0
Jordan Walsh	BOS	BOS @ DET	02/26/2025	L	15	0	0	3	0.0	0	1	0.0	0	0	-	2	0	2	0	0	0	0	2	-7	2.4
Sam Hauser	BOS	BOS @ DET	02/26/2025	L	12	3	1	1	100	1	1	100	0	0	-	0	1	1	1	0	0	1	1	-7	4.7
Neemias Queta	BOS	BOS @ DET	02/26/2025	L	11	0	0	0	-	0	0	-	0	0	-	0	1	1	1	1	0	1	1	-2	4.7
