PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Bradley Beal	PHX	PHX vs. LAC	03/04/2025	W	15	0	0	4	0.0	0	1	0.0	0	0	-	1	1	2	2	1	1	2	0	-18	9.4
Tyus Jones	PHX	PHX vs. LAC	03/04/2025	W	19	6	1	3	33.3	1	3	33.3	3	3	100	0	1	1	5	1	0	1	1	-5	16.7
Royce O'Neale	PHX	PHX vs. LAC	03/04/2025	W	29	12	4	9	44.4	4	7	57.1	0	0	-	1	2	3	3	0	0	0	2	2	20.1
Devin Booker	PHX	PHX vs. LAC	03/04/2025	W	41	17	6	11	54.5	1	4	25.0	4	8	50.0	1	4	5	8	0	0	5	4	-9	30.0
Nick Richards	PHX	PHX vs. LAC	03/04/2025	W	23	16	8	10	80.0	0	0	-	0	0	-	2	5	7	0	0	0	0	2	-16	24.4
Kevin Durant	PHX	PHX vs. LAC	03/04/2025	W	41	34	10	22	45.5	4	11	36.4	10	10	100	0	7	7	4	1	2	2	2	16	55.4
Mason Plumlee	PHX	PHX vs. LAC	03/04/2025	W	25	14	4	7	57.1	0	1	0.0	6	6	100	1	5	6	4	0	0	0	4	19	27.2
Grayson Allen	PHX	PHX vs. LAC	03/04/2025	W	24	8	3	3	100	2	2	100	0	0	-	0	3	3	2	2	0	0	2	16	20.6
Collin Gillespie	PHX	PHX vs. LAC	03/04/2025	W	15	10	4	6	66.7	2	3	66.7	0	0	-	1	1	2	3	0	0	0	1	21	16.9
Devin Booker	PHX	PHX vs. MIN	03/02/2025	L	35	17	5	12	41.7	3	7	42.9	4	4	100	1	3	4	5	1	0	6	3	-26	26.3
Ryan Dunn	PHX	PHX vs. MIN	03/02/2025	L	11	5	2	6	33.3	1	5	20.0	0	0	-	1	2	3	1	0	1	1	2	-5	12.1
Grayson Allen	PHX	PHX vs. MIN	03/02/2025	L	15	5	1	4	25.0	1	4	25.0	2	2	100	0	2	2	1	0	2	1	0	0	13.9
Tyus Jones	PHX	PHX vs. MIN	03/02/2025	L	17	10	4	4	100	2	2	100	0	0	-	0	1	1	1	1	0	1	0	-2	14.7
Mason Plumlee	PHX	PHX vs. MIN	03/02/2025	L	21	4	1	2	50.0	0	0	-	2	2	100	0	7	7	2	0	0	0	1	-13	15.4
Bradley Beal	PHX	PHX vs. MIN	03/02/2025	L	33	18	8	15	53.3	2	5	40.0	0	0	-	2	2	4	3	0	0	4	3	-16	23.3
Nick Richards	PHX	PHX vs. MIN	03/02/2025	L	25	4	0	0	-	0	0	-	4	4	100	2	6	8	2	0	1	2	4	-8	17.6
Bol Bol	PHX	PHX vs. MIN	03/02/2025	L	25	9	4	9	44.4	1	5	20.0	0	0	-	1	10	11	3	0	0	0	0	-1	26.7
Royce O'Neale	PHX	PHX vs. MIN	03/02/2025	L	14	0	0	3	0.0	0	3	0.0	0	0	-	2	3	5	1	0	1	0	0	-15	10.5
Kevin Durant	PHX	PHX vs. MIN	03/02/2025	L	38	26	10	23	43.5	3	9	33.3	3	7	42.9	1	9	10	4	0	2	4	2	-16	46.0
Kevin Durant	PHX	PHX vs. NOP	02/28/2025	W	35	17	7	10	70.0	2	2	100	1	1	100	1	1	2	6	3	0	2	3	22	35.4
Bol Bol	PHX	PHX vs. NOP	02/28/2025	W	26	25	9	12	75.0	5	8	62.5	2	2	100	1	2	3	2	0	2	1	2	4	36.6
Nick Richards	PHX	PHX vs. NOP	02/28/2025	W	29	19	8	11	72.7	0	0	-	3	4	75.0	1	11	12	2	0	1	2	1	-4	37.4
Collin Gillespie	PHX	PHX vs. NOP	02/28/2025	W	18	9	4	5	80.0	1	2	50.0	0	0	-	0	2	2	4	1	0	1	3	7	19.4
Ryan Dunn	PHX	PHX vs. NOP	02/28/2025	W	17	5	2	2	100	1	1	100	0	2	0.0	1	1	2	0	0	0	4	3	2	3.4
Mason Plumlee	PHX	PHX vs. NOP	02/28/2025	W	17	6	2	5	40.0	0	0	-	2	2	100	1	8	9	3	0	0	0	2	25	21.3
Tyus Jones	PHX	PHX vs. NOP	02/28/2025	W	32	9	3	11	27.3	3	8	37.5	0	0	-	0	1	1	6	1	0	2	0	12	20.2
Devin Booker	PHX	PHX vs. NOP	02/28/2025	W	37	17	6	13	46.2	3	9	33.3	2	2	100	0	0	0	9	1	0	1	3	13	32.5
Royce O'Neale	PHX	PHX vs. NOP	02/28/2025	W	26	18	6	9	66.7	6	9	66.7	0	0	-	0	3	3	3	0	0	1	1	12	25.1
Nick Richards	PHX	PHX vs. NOP	02/27/2025	L	31	10	5	6	83.3	0	0	-	0	0	-	6	10	16	2	0	1	2	3	15	33.2
Bol Bol	PHX	PHX vs. NOP	02/27/2025	L	29	15	6	10	60.0	3	6	50.0	0	0	-	0	6	6	1	0	2	1	1	15	28.7
Royce O'Neale	PHX	PHX vs. NOP	02/27/2025	L	11	6	2	3	66.7	2	2	100	0	0	-	0	1	1	0	0	0	0	1	-8	7.2
Tyus Jones	PHX	PHX vs. NOP	02/27/2025	L	39	15	5	7	71.4	5	6	83.3	0	0	-	0	5	5	12	1	0	0	0	15	42.0
Kevin Durant	PHX	PHX vs. NOP	02/27/2025	L	36	28	12	23	52.2	4	13	30.8	0	0	-	0	5	5	2	1	1	2	2	-2	41.0
Grayson Allen	PHX	PHX vs. NOP	02/27/2025	L	16	0	0	7	0.0	0	6	0.0	0	0	-	0	1	1	2	1	0	1	1	-22	6.2
Devin Booker	PHX	PHX vs. NOP	02/27/2025	L	42	36	13	29	44.8	6	16	37.5	4	4	100	3	4	7	9	1	0	4	3	-6	56.9
Mason Plumlee	PHX	PHX vs. NOP	02/27/2025	L	17	4	1	1	100	0	0	-	2	4	50.0	3	5	8	0	0	1	0	1	-21	16.6
Ryan Dunn	PHX	PHX vs. NOP	02/27/2025	L	14	0	0	5	0.0	0	3	0.0	0	0	-	1	1	2	0	0	1	0	1	-9	5.4
Bol Bol	PHX	PHX @ MEM	02/25/2025	L	32	23	8	11	72.7	2	4	50.0	5	6	83.3	0	8	8	1	0	2	1	2	-12	39.1
Grayson Allen	PHX	PHX @ MEM	02/25/2025	L	30	21	6	10	60.0	6	9	66.7	3	5	60.0	0	3	3	3	0	1	2	4	1	30.1
Mason Plumlee	PHX	PHX @ MEM	02/25/2025	L	34	7	3	3	100	0	0	-	1	2	50.0	3	4	7	3	2	1	0	4	-3	28.9
Bradley Beal	PHX	PHX @ MEM	02/25/2025	L	43	24	9	20	45.0	4	6	66.7	2	2	100	0	5	5	11	2	1	2	2	-1	53.5
Kevin Durant	PHX	PHX @ MEM	02/25/2025	L	43	26	8	19	42.1	3	7	42.9	7	7	100	0	8	8	7	1	0	4	1	-9	45.1
Nick Richards	PHX	PHX @ MEM	02/25/2025	L	16	6	3	7	42.9	0	0	-	0	0	-	0	4	4	0	0	1	0	5	4	13.8
Royce O'Neale	PHX	PHX @ MEM	02/25/2025	L	15	10	3	5	60.0	3	4	75.0	1	2	50.0	2	2	4	1	1	0	0	0	2	19.3
Devin Booker	PHX	PHX @ MEM	02/25/2025	L	35	28	12	20	60.0	2	4	50.0	2	2	100	2	1	3	10	0	0	5	6	3	41.6
Tyus Jones	PHX	PHX @ MEM	02/25/2025	L	12	3	1	3	33.3	1	3	33.3	0	0	-	0	3	3	3	0	0	2	0	3	9.1
Devin Booker	PHX	PHX @ TOR	02/23/2025	L	37	31	12	25	48.0	3	8	37.5	4	4	100	0	4	4	8	2	1	1	5	-11	55.8
Grayson Allen	PHX	PHX @ TOR	02/23/2025	L	23	9	4	6	66.7	1	2	50.0	0	0	-	1	3	4	1	0	0	2	1	-22	13.3
Tyus Jones	PHX	PHX @ TOR	02/23/2025	L	15	0	0	1	0.0	0	1	0.0	0	0	-	0	1	1	3	1	0	3	1	-3	5.7
Mason Plumlee	PHX	PHX @ TOR	02/23/2025	L	17	4	2	2	100	0	0	-	0	2	0.0	0	3	3	2	0	0	0	1	-12	10.6
Bradley Beal	PHX	PHX @ TOR	02/23/2025	L	41	30	12	15	80.0	1	2	50.0	5	7	71.4	1	3	4	1	0	0	0	3	-18	36.3
Kevin Durant	PHX	PHX @ TOR	02/23/2025	L	40	15	5	15	33.3	0	5	0.0	5	7	71.4	0	4	4	4	3	3	2	2	-14	41.8
Royce O'Neale	PHX	PHX @ TOR	02/23/2025	L	28	5	2	8	25.0	1	6	16.7	0	0	-	0	4	4	2	2	1	1	2	-7	20.8
Nick Richards	PHX	PHX @ TOR	02/23/2025	L	21	10	4	6	66.7	0	0	-	2	2	100	1	7	8	0	1	1	2	3	3	23.6
Nick Richards	PHX	PHX @ CHI	02/22/2025	W	28	15	5	9	55.6	0	0	-	5	5	100	2	8	10	0	0	0	0	1	7	27.0
Kevin Durant	PHX	PHX @ CHI	02/22/2025	W	38	27	9	15	60.0	3	6	50.0	6	6	100	0	10	10	5	0	1	2	0	6	47.5
Grayson Allen	PHX	PHX @ CHI	02/22/2025	W	24	3	1	4	25.0	0	1	0.0	1	2	50.0	0	3	3	4	0	0	1	3	-6	11.6
Tyus Jones	PHX	PHX @ CHI	02/22/2025	W	20	2	0	5	0.0	0	3	0.0	2	2	100	0	3	3	6	1	0	0	0	1	17.6
Mason Plumlee	PHX	PHX @ CHI	02/22/2025	W	17	10	4	5	80.0	0	0	-	2	3	66.7	1	5	6	0	0	1	0	2	-2	20.2
Bradley Beal	PHX	PHX @ CHI	02/22/2025	W	38	25	10	19	52.6	3	7	42.9	2	2	100	2	4	6	4	2	0	4	2	11	40.2
Bol Bol	PHX	PHX @ CHI	02/22/2025	W	13	8	3	5	60.0	0	1	0.0	2	2	100	0	2	2	0	0	1	0	0	-1	13.4
Royce O'Neale	PHX	PHX @ CHI	02/22/2025	W	24	2	1	7	14.3	0	5	0.0	0	0	-	1	4	5	2	2	0	1	0	8	16.0
Devin Booker	PHX	PHX @ CHI	02/22/2025	W	38	29	10	20	50.0	4	7	57.1	5	6	83.3	2	2	4	8	2	0	3	3	-4	48.8
Kevin Durant	PHX	PHX @ SAS	02/20/2025	L	39	22	9	13	69.2	3	6	50.0	1	2	50.0	0	5	5	2	0	0	1	0	-12	30.0
Tyus Jones	PHX	PHX @ SAS	02/20/2025	L	23	3	1	9	11.1	1	6	16.7	0	0	-	0	2	2	3	1	1	0	1	-2	15.9
Bradley Beal	PHX	PHX @ SAS	02/20/2025	L	33	19	8	14	57.1	0	2	0.0	3	3	100	1	8	9	6	0	0	3	4	-9	35.8
Bol Bol	PHX	PHX @ SAS	02/20/2025	L	10	5	2	3	66.7	1	2	50.0	0	0	-	1	3	4	0	0	1	2	1	-13	10.8
Mason Plumlee	PHX	PHX @ SAS	02/20/2025	L	17	2	0	0	-	0	0	-	2	2	100	0	3	3	3	0	0	1	2	5	9.1
Devin Booker	PHX	PHX @ SAS	02/20/2025	L	41	17	4	14	28.6	2	7	28.6	7	8	87.5	0	2	2	8	1	1	4	4	-4	33.4
Royce O'Neale	PHX	PHX @ SAS	02/20/2025	L	36	27	10	16	62.5	6	12	50.0	1	2	50.0	1	5	6	3	3	0	4	3	-5	43.7
Grayson Allen	PHX	PHX @ SAS	02/20/2025	L	33	11	3	10	30.0	3	9	33.3	2	2	100	0	2	2	3	1	1	2	5	-5	21.9
Bol Bol	PHX	PHX @ HOU	02/12/2025	L	33	15	7	18	38.9	1	6	16.7	0	0	-	2	2	4	0	1	2	1	2	-8	27.8
Nick Richards	PHX	PHX @ HOU	02/12/2025	L	28	11	5	6	83.3	0	0	-	1	2	50.0	4	9	13	0	0	2	1	3	-4	31.6
TyTy Washington Jr.	PHX	PHX @ HOU	02/12/2025	L	26	11	4	10	40.0	1	3	33.3	2	2	100	1	3	4	3	1	0	1	0	-4	22.3
Collin Gillespie	PHX	PHX @ HOU	02/12/2025	L	15	9	4	8	50.0	1	2	50.0	0	0	-	1	0	1	3	0	1	0	1	-3	17.7
Royce O'Neale	PHX	PHX @ HOU	02/12/2025	L	35	14	5	9	55.6	4	5	80.0	0	0	-	0	4	4	0	2	0	0	2	-20	24.8
Ryan Dunn	PHX	PHX @ HOU	02/12/2025	L	10	0	0	2	0.0	0	2	0.0	0	0	-	0	2	2	0	0	0	1	0	0	1.4
Kevin Durant	PHX	PHX @ HOU	02/12/2025	L	42	37	15	22	68.2	2	5	40.0	5	5	100	0	5	5	9	2	0	7	5	5	55.5
