PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Christian Braun	DEN	DEN @ BOS	03/02/2025	L	47	24	10	22	45.5	2	8	25.0	2	2	100	0	6	6	3	4	1	1	3	-2	49.7
Michael Porter Jr.	DEN	DEN @ BOS	03/02/2025	L	40	10	3	9	33.3	2	6	33.3	2	4	50.0	0	5	5	2	1	0	1	2	-11	21.0
Jamal Murray	DEN	DEN @ BOS	03/02/2025	L	40	26	11	20	55.0	2	7	28.6	2	2	100	2	4	6	7	1	0	3	3	-3	43.7
Julian Strawther	DEN	DEN @ BOS	03/02/2025	L	14	4	1	4	25.0	0	1	0.0	2	2	100	0	0	0	0	0	0	1	1	-18	3.0
Nikola Jokić	DEN	DEN @ BOS	03/02/2025	L	39	20	9	15	60.0	2	3	66.7	0	0	-	3	11	14	9	2	0	2	2	0	54.3
Russell Westbrook	DEN	DEN @ BOS	03/02/2025	L	36	12	5	13	38.5	2	8	25.0	0	1	0.0	1	2	3	6	2	1	3	3	-3	30.6
Julian Strawther	DEN	DEN @ DET	02/28/2025	W	27	6	3	7	42.9	0	3	0.0	0	1	0.0	0	1	1	1	1	0	2	0	-12	9.7
Michael Porter Jr.	DEN	DEN @ DET	02/28/2025	W	38	28	10	15	66.7	6	7	85.7	2	2	100	2	7	9	1	0	0	2	3	35	38.3
Jamal Murray	DEN	DEN @ DET	02/28/2025	W	35	31	10	22	45.5	5	9	55.6	6	7	85.7	1	2	3	4	2	1	2	1	23	47.6
DeAndre Jordan	DEN	DEN @ DET	02/28/2025	W	10	4	2	3	66.7	0	0	-	0	2	0.0	2	4	6	0	0	0	1	1	-9	10.2
Russell Westbrook	DEN	DEN @ DET	02/28/2025	W	21	8	3	7	42.9	1	2	50.0	1	2	50.0	2	2	4	2	1	1	4	4	-16	17.8
Christian Braun	DEN	DEN @ DET	02/28/2025	W	35	23	10	14	71.4	2	3	66.7	1	1	100	1	5	6	2	0	1	0	0	30	36.2
Zeke Nnaji	DEN	DEN @ DET	02/28/2025	W	21	8	2	2	100	2	2	100	2	4	50.0	2	0	2	2	0	3	0	4	27	22.4
Nikola Jokić	DEN	DEN @ DET	02/28/2025	W	34	23	6	12	50.0	0	3	0.0	11	12	91.7	0	17	17	15	1	2	7	2	33	67.9
Aaron Gordon	DEN	DEN @ MIL	02/27/2025	L	33	9	4	13	30.8	1	6	16.7	0	0	-	1	4	5	2	1	1	2	2	-14	22.0
Nikola Jokić	DEN	DEN @ MIL	02/27/2025	L	38	32	13	16	81.3	1	2	50.0	5	7	71.4	1	13	14	10	1	0	5	4	-5	61.8
Christian Braun	DEN	DEN @ MIL	02/27/2025	L	31	13	5	11	45.5	0	2	0.0	3	3	100	1	9	10	3	2	0	0	4	-12	35.5
Russell Westbrook	DEN	DEN @ MIL	02/27/2025	L	25	10	4	13	30.8	1	4	25.0	1	1	100	2	4	6	5	1	0	1	2	7	26.7
DeAndre Jordan	DEN	DEN @ MIL	02/27/2025	L	10	2	1	1	100	0	0	-	0	0	-	1	4	5	0	0	0	0	1	-1	8.0
Jamal Murray	DEN	DEN @ MIL	02/27/2025	L	40	20	9	20	45.0	2	5	40.0	0	0	-	1	2	3	5	1	0	2	0	-13	32.1
Michael Porter Jr.	DEN	DEN @ MIL	02/27/2025	L	35	12	5	22	22.7	2	11	18.2	0	0	-	6	4	10	3	1	0	1	2	-20	30.5
Julian Strawther	DEN	DEN @ MIL	02/27/2025	L	20	12	5	8	62.5	2	4	50.0	0	0	-	0	0	0	0	0	0	2	1	6	10.0
Michael Porter Jr.	DEN	DEN @ IND	02/24/2025	W	33	19	9	16	56.3	1	4	25.0	0	0	-	4	7	11	3	0	0	1	1	11	35.7
Christian Braun	DEN	DEN @ IND	02/24/2025	W	37	17	7	11	63.6	0	0	-	3	3	100	1	7	8	1	1	0	2	3	4	29.1
Russell Westbrook	DEN	DEN @ IND	02/24/2025	W	23	7	2	8	25.0	0	3	0.0	3	4	75.0	0	3	3	5	0	0	3	3	-5	15.1
Jamal Murray	DEN	DEN @ IND	02/24/2025	W	33	16	6	12	50.0	4	4	100	0	0	-	0	1	1	6	1	0	3	3	17	26.2
Zeke Nnaji	DEN	DEN @ IND	02/24/2025	W	24	14	6	8	75.0	1	1	100	1	2	50.0	3	0	3	0	0	2	0	3	-4	23.6
Julian Strawther	DEN	DEN @ IND	02/24/2025	W	14	4	1	4	25.0	0	3	0.0	2	2	100	0	1	1	2	0	0	1	1	3	7.2
Aaron Gordon	DEN	DEN @ IND	02/24/2025	W	24	25	11	17	64.7	2	4	50.0	1	1	100	3	2	5	2	2	0	2	4	10	38.0
Nikola Jokić	DEN	DEN @ IND	02/24/2025	W	39	18	9	14	64.3	0	1	0.0	0	0	-	0	9	9	19	3	1	4	1	17	65.3
Michael Porter Jr.	DEN	DEN vs. LAL	02/22/2025	L	30	13	5	14	35.7	1	4	25.0	2	2	100	1	7	8	1	1	0	1	3	-12	26.1
Nikola Jokić	DEN	DEN vs. LAL	02/22/2025	L	35	12	2	7	28.6	0	1	0.0	8	10	80.0	4	9	13	10	1	0	6	3	-11	39.6
Christian Braun	DEN	DEN vs. LAL	02/22/2025	L	29	10	3	7	42.9	1	3	33.3	3	4	75.0	1	2	3	3	1	0	0	1	1	21.1
Julian Strawther	DEN	DEN vs. LAL	02/22/2025	L	12	2	1	4	25.0	0	3	0.0	0	0	-	0	0	0	2	0	0	1	5	-10	4.0
Zeke Nnaji	DEN	DEN vs. LAL	02/22/2025	L	14	0	0	1	0.0	0	0	-	0	0	-	0	2	2	0	1	0	0	0	0	5.4
Jamal Murray	DEN	DEN vs. LAL	02/22/2025	L	36	19	6	13	46.2	6	11	54.5	1	1	100	0	3	3	6	2	0	5	2	-28	32.6
Aaron Gordon	DEN	DEN vs. LAL	02/22/2025	L	35	24	9	15	60.0	4	7	57.1	2	2	100	0	5	5	4	0	0	1	1	-25	35.0
Russell Westbrook	DEN	DEN vs. LAL	02/22/2025	L	24	17	7	17	41.2	3	7	42.9	0	2	0.0	3	1	4	1	0	0	4	1	-15	19.3
Julian Strawther	DEN	DEN vs. CHA	02/20/2025	W	22	16	5	10	50.0	4	7	57.1	2	2	100	0	4	4	2	0	0	1	2	15	22.8
Zeke Nnaji	DEN	DEN vs. CHA	02/20/2025	W	16	4	2	3	66.7	0	1	0.0	0	0	-	1	2	3	0	1	0	0	2	6	10.6
Jamal Murray	DEN	DEN vs. CHA	02/20/2025	W	35	34	12	18	66.7	7	10	70.0	3	4	75.0	0	1	1	4	0	2	2	5	-5	45.2
DeAndre Jordan	DEN	DEN vs. CHA	02/20/2025	W	11	4	2	2	100	0	0	-	0	0	-	2	5	7	0	0	0	1	1	0	11.4
Russell Westbrook	DEN	DEN vs. CHA	02/20/2025	W	26	8	3	10	30.0	1	4	25.0	1	1	100	0	3	3	7	0	0	5	2	17	17.1
Christian Braun	DEN	DEN vs. CHA	02/20/2025	W	33	10	4	9	44.4	0	2	0.0	2	3	66.7	0	2	2	2	1	0	1	1	23	17.4
Michael Porter Jr.	DEN	DEN vs. CHA	02/20/2025	W	29	6	2	11	18.2	0	3	0.0	2	2	100	5	6	11	3	0	0	1	0	-8	22.7
Nikola Jokić	DEN	DEN vs. CHA	02/20/2025	W	37	29	11	22	50.0	6	14	42.9	1	2	50.0	4	13	17	9	1	1	2	1	14	66.9
Aaron Gordon	DEN	DEN vs. CHA	02/20/2025	W	32	18	8	13	61.5	1	2	50.0	1	2	50.0	4	3	7	2	0	0	0	0	8	29.4
DeAndre Jordan	DEN	DEN vs. POR	02/12/2025	W	12	0	0	1	0.0	0	0	-	0	0	-	1	4	5	2	0	1	1	3	5	11.0
Julian Strawther	DEN	DEN vs. POR	02/12/2025	W	25	11	4	10	40.0	3	7	42.9	0	0	-	0	5	5	1	0	1	3	5	-5	18.5
Jamal Murray	DEN	DEN vs. POR	02/12/2025	W	42	55	20	36	55.6	7	15	46.7	8	9	88.9	2	2	4	5	2	0	2	3	26	71.3
Jalen Pickett	DEN	DEN vs. POR	02/12/2025	W	29	3	1	5	20.0	1	4	25.0	0	0	-	1	2	3	1	0	0	2	0	1	6.1
Christian Braun	DEN	DEN vs. POR	02/12/2025	W	45	21	7	13	53.8	2	4	50.0	5	7	71.4	1	9	10	6	2	1	0	3	11	51.0
Nikola Jokić	DEN	DEN vs. POR	02/12/2025	W	36	26	11	20	55.0	0	3	0.0	4	4	100	3	12	15	10	2	0	4	4	6	61.0
Zeke Nnaji	DEN	DEN vs. POR	02/12/2025	W	37	16	6	9	66.7	2	4	50.0	2	4	50.0	3	2	5	1	3	4	0	2	11	44.5
Aaron Gordon	DEN	DEN vs. POR	02/10/2025	W	24	9	3	5	60.0	1	1	100	2	2	100	1	1	2	7	1	0	0	1	19	24.9
Nikola Jokić	DEN	DEN vs. POR	02/10/2025	W	31	40	15	22	68.2	2	7	28.6	8	8	100	1	6	7	8	3	1	5	2	22	67.4
Christian Braun	DEN	DEN vs. POR	02/10/2025	W	37	26	12	14	85.7	0	0	-	2	2	100	1	5	6	2	0	1	1	2	34	38.2
Hunter Tyson	DEN	DEN vs. POR	02/10/2025	W	10	0	0	3	0.0	0	3	0.0	0	0	-	2	1	3	1	0	0	1	2	-7	4.1
DeAndre Jordan	DEN	DEN vs. POR	02/10/2025	W	13	5	2	2	100	0	0	-	1	2	50.0	0	2	2	2	1	0	0	2	7	13.4
Jamal Murray	DEN	DEN vs. POR	02/10/2025	W	29	17	7	10	70.0	1	2	50.0	2	3	66.7	0	2	2	8	2	0	1	4	22	36.4
Jalen Pickett	DEN	DEN vs. POR	02/10/2025	W	29	14	6	10	60.0	1	4	25.0	1	1	100	0	3	3	9	2	0	0	0	22	37.1
Zeke Nnaji	DEN	DEN vs. POR	02/10/2025	W	19	11	4	5	80.0	1	1	100	2	2	100	1	4	5	3	1	0	0	3	11	24.5
Julian Strawther	DEN	DEN vs. POR	02/10/2025	W	35	18	8	14	57.1	2	6	33.3	0	0	-	0	4	4	3	1	0	0	4	15	30.3
Jalen Pickett	DEN	DEN @ PHX	02/08/2025	W	17	6	2	6	33.3	2	3	66.7	0	0	-	0	1	1	1	0	1	0	0	10	11.7
Julian Strawther	DEN	DEN @ PHX	02/08/2025	W	39	18	6	15	40.0	4	10	40.0	2	2	100	1	5	6	0	1	0	2	2	9	26.2
Zeke Nnaji	DEN	DEN @ PHX	02/08/2025	W	21	4	1	4	25.0	0	2	0.0	2	2	100	0	5	5	1	2	0	0	1	8	17.5
Jamal Murray	DEN	DEN @ PHX	02/08/2025	W	38	30	12	23	52.2	6	9	66.7	0	0	-	1	2	3	5	2	1	2	1	18	48.1
DeAndre Jordan	DEN	DEN @ PHX	02/08/2025	W	17	4	2	5	40.0	0	0	-	0	0	-	4	7	11	1	0	1	0	2	2	21.7
Christian Braun	DEN	DEN @ PHX	02/08/2025	W	38	18	6	13	46.2	1	5	20.0	5	6	83.3	3	4	7	6	0	1	0	1	19	38.4
Nikola Jokić	DEN	DEN @ PHX	02/08/2025	W	29	26	11	13	84.6	1	2	50.0	3	3	100	4	7	11	9	0	0	2	4	19	50.7
Aaron Gordon	DEN	DEN @ PHX	02/08/2025	W	24	9	2	9	22.2	1	2	50.0	4	4	100	2	8	10	4	0	0	0	0	13	27.0
Aaron Gordon	DEN	DEN vs. ORL	02/06/2025	W	23	11	3	6	50.0	1	2	50.0	4	7	57.1	1	2	3	7	0	1	1	2	10	27.1
Michael Porter Jr.	DEN	DEN vs. ORL	02/06/2025	W	30	30	11	16	68.8	5	8	62.5	3	5	60.0	2	5	7	1	0	1	3	1	19	39.9
Nikola Jokić	DEN	DEN vs. ORL	02/06/2025	W	31	28	11	16	68.8	2	4	50.0	4	6	66.7	0	10	10	12	2	0	3	2	22	61.0
Christian Braun	DEN	DEN vs. ORL	02/06/2025	W	36	16	8	12	66.7	0	0	-	0	1	0.0	1	7	8	4	3	0	1	4	30	39.6
Hunter Tyson	DEN	DEN vs. ORL	02/06/2025	W	11	7	2	4	50.0	2	4	50.0	1	2	50.0	0	2	2	0	0	0	3	1	-6	6.4
Jalen Pickett	DEN	DEN vs. ORL	02/06/2025	W	31	5	2	6	33.3	1	3	33.3	0	0	-	0	3	3	5	0	1	1	2	16	18.1
Zeke Nnaji	DEN	DEN vs. ORL	02/06/2025	W	21	3	1	7	14.3	1	4	25.0	0	0	-	2	4	6	0	1	1	1	2	23	15.2
DeAndre Jordan	DEN	DEN vs. ORL	02/06/2025	W	12	8	4	4	100	0	0	-	0	0	-	3	4	7	1	0	0	3	1	11	14.9
Julian Strawther	DEN	DEN vs. ORL	02/06/2025	W	31	2	1	8	12.5	0	4	0.0	0	0	-	1	2	3	3	1	0	2	4	18	11.1
Nikola Jokić	DEN	DEN vs. NOP	02/05/2025	W	36	38	15	28	53.6	5	13	38.5	3	3	100	2	6	8	10	1	1	1	3	24	67.6
Michael Porter Jr.	DEN	DEN vs. NOP	02/05/2025	W	37	39	16	23	69.6	5	9	55.6	2	2	100	6	6	12	4	3	0	3	1	23	65.4
Jalen Pickett	DEN	DEN vs. NOP	02/05/2025	W	12	4	2	3	66.7	0	1	0.0	0	0	-	0	2	2	2	1	0	0	1	6	12.4
Christian Braun	DEN	DEN vs. NOP	02/05/2025	W	29	23	8	12	66.7	1	3	33.3	6	6	100	2	7	9	3	3	1	1	3	24	49.3
DeAndre Jordan	DEN	DEN vs. NOP	02/05/2025	W	10	2	1	1	100	0	0	-	0	0	-	0	4	4	2	0	0	0	0	-3	9.8
Aaron Gordon	DEN	DEN vs. NOP	02/05/2025	W	31	7	2	9	22.2	1	4	25.0	2	2	100	1	3	4	12	1	1	0	2	17	35.8
Jamal Murray	DEN	DEN vs. NOP	02/05/2025	W	36	10	5	7	71.4	0	2	0.0	0	0	-	0	2	2	6	0	0	1	2	19	20.4
Julian Strawther	DEN	DEN vs. NOP	02/05/2025	W	24	10	4	10	40.0	2	6	33.3	0	0	-	0	2	2	1	0	0	1	4	0	12.9
Hunter Tyson	DEN	DEN vs. NOP	02/05/2025	W	10	4	1	2	50.0	1	2	50.0	1	2	50.0	0	2	2	0	0	0	0	0	-13	6.4
Michael Porter Jr.	DEN	DEN vs. NOP	02/03/2025	W	40	36	12	22	54.5	7	12	58.3	5	5	100	4	3	7	2	0	1	1	2	20	49.4
Christian Braun	DEN	DEN vs. NOP	02/03/2025	W	41	11	5	14	35.7	0	4	0.0	1	2	50.0	2	4	6	4	1	0	0	1	2	27.2
Julian Strawther	DEN	DEN vs. NOP	02/03/2025	W	24	15	6	10	60.0	1	5	20.0	2	4	50.0	1	2	3	2	2	0	2	1	9	25.6
Zeke Nnaji	DEN	DEN vs. NOP	02/03/2025	W	31	12	5	9	55.6	2	4	50.0	0	0	-	2	3	5	0	0	1	1	5	1	20.0
Jamal Murray	DEN	DEN vs. NOP	02/03/2025	W	35	20	7	17	41.2	1	4	25.0	5	5	100	1	4	5	8	2	0	0	5	18	44.0
DeAndre Jordan	DEN	DEN vs. NOP	02/03/2025	W	12	4	2	3	66.7	0	0	-	0	0	-	2	1	3	0	0	1	0	0	1	10.6
Jalen Pickett	DEN	DEN vs. NOP	02/03/2025	W	13	0	0	4	0.0	0	1	0.0	0	0	-	1	0	1	2	1	0	0	0	-4	7.2
Nikola Jokić	DEN	DEN vs. NOP	02/03/2025	W	36	27	9	13	69.2	1	3	33.3	8	10	80.0	1	13	14	10	1	2	1	2	11	66.8
Julian Strawther	DEN	DEN @ CHA	02/01/2025	W	24	5	2	8	25.0	1	6	16.7	0	0	-	0	1	1	1	0	1	1	2	-11	9.7
Zeke Nnaji	DEN	DEN @ CHA	02/01/2025	W	22	6	3	4	75.0	0	1	0.0	0	0	-	0	3	3	0	1	5	0	3	-17	27.6
Jalen Pickett	DEN	DEN @ CHA	02/01/2025	W	15	3	1	4	25.0	1	2	50.0	0	0	-	0	1	1	0	1	0	0	0	3	7.2
Michael Porter Jr.	DEN	DEN @ CHA	02/01/2025	W	41	15	6	14	42.9	0	6	0.0	3	4	75.0	4	6	10	2	1	1	2	2	12	34.0
Aaron Gordon	DEN	DEN @ CHA	02/01/2025	W	30	6	3	10	30.0	0	4	0.0	0	0	-	2	1	3	2	0	1	1	4	21	14.6
Christian Braun	DEN	DEN @ CHA	02/01/2025	W	38	24	9	15	60.0	2	5	40.0	4	4	100	1	10	11	2	2	0	0	3	9	46.2
Jamal Murray	DEN	DEN @ CHA	02/01/2025	W	33	20	8	16	50.0	1	6	16.7	3	3	100	0	1	1	5	0	0	3	0	0	25.7
Nikola Jokić	DEN	DEN @ CHA	02/01/2025	W	37	28	9	17	52.9	2	7	28.6	8	9	88.9	1	12	13	17	4	1	4	2	-2	80.1
Peyton Watson	DEN	DEN @ PHI	01/31/2025	W	27	6	3	4	75.0	0	1	0.0	0	0	-	1	3	4	3	0	0	1	2	-8	14.3
Julian Strawther	DEN	DEN @ PHI	01/31/2025	W	19	18	6	7	85.7	4	5	80.0	2	2	100	0	2	2	0	1	0	0	1	2	23.4
Aaron Gordon	DEN	DEN @ PHI	01/31/2025	W	32	11	4	6	66.7	1	1	100	2	2	100	1	2	3	3	0	0	2	2	14	17.1
Russell Westbrook	DEN	DEN @ PHI	01/31/2025	W	25	4	2	3	66.7	0	1	0.0	0	0	-	0	0	0	7	2	0	6	2	1	14.5
Nikola Jokić	DEN	DEN @ PHI	01/31/2025	W	37	28	11	16	68.8	2	3	66.7	4	5	80.0	2	7	9	13	2	0	6	3	0	58.3
Jamal Murray	DEN	DEN @ PHI	01/31/2025	W	40	31	12	22	54.5	0	4	0.0	7	7	100	3	3	6	11	1	1	1	3	13	59.7
Michael Porter Jr.	DEN	DEN @ PHI	01/31/2025	W	29	24	10	14	71.4	2	3	66.7	2	2	100	1	5	6	0	0	1	0	3	1	34.2
Christian Braun	DEN	DEN @ PHI	01/31/2025	W	31	15	6	10	60.0	3	5	60.0	0	0	-	1	4	5	2	1	0	3	1	-8	24.0
Jamal Murray	DEN	DEN @ NYK	01/29/2025	L	37	33	13	25	52.0	3	7	42.9	4	5	80.0	0	5	5	6	1	1	3	5	-4	51.0
Aaron Gordon	DEN	DEN @ NYK	01/29/2025	L	30	15	6	7	85.7	1	1	100	2	2	100	2	4	6	1	0	0	2	0	-2	21.7
Michael Porter Jr.	DEN	DEN @ NYK	01/29/2025	L	26	9	3	8	37.5	1	5	20.0	2	2	100	1	2	3	2	0	1	1	2	-10	17.6
Julian Strawther	DEN	DEN @ NYK	01/29/2025	L	19	5	2	6	33.3	1	4	25.0	0	0	-	0	4	4	0	0	1	0	1	-1	12.8
Peyton Watson	DEN	DEN @ NYK	01/29/2025	L	19	4	1	2	50.0	0	0	-	2	2	100	0	1	1	0	0	0	1	1	-7	4.2
Nikola Jokić	DEN	DEN @ NYK	01/29/2025	L	33	17	6	15	40.0	3	7	42.9	2	2	100	0	6	6	6	2	1	2	3	-3	40.2
Christian Braun	DEN	DEN @ NYK	01/29/2025	L	29	13	4	8	50.0	1	2	50.0	4	4	100	2	3	5	1	0	0	1	2	-18	19.5
Russell Westbrook	DEN	DEN @ NYK	01/29/2025	L	37	14	5	11	45.5	0	2	0.0	4	6	66.7	5	9	14	4	0	1	4	4	-5	35.8
Russell Westbrook	DEN	DEN @ CHI	01/27/2025	L	35	14	6	10	60.0	0	1	0.0	2	2	100	2	1	3	5	1	0	2	2	6	26.1
Nikola Jokić	DEN	DEN @ CHI	01/27/2025	L	40	33	15	21	71.4	1	4	25.0	2	2	100	2	10	12	14	1	1	4	1	1	70.4
Christian Braun	DEN	DEN @ CHI	01/27/2025	L	33	28	11	15	73.3	2	4	50.0	4	4	100	1	4	5	4	2	1	2	2	4	47.0
Aaron Gordon	DEN	DEN @ CHI	01/27/2025	L	22	6	3	9	33.3	0	2	0.0	0	0	-	1	1	2	4	2	0	0	0	-9	20.4
Jamal Murray	DEN	DEN @ CHI	01/27/2025	L	40	18	8	20	40.0	1	5	20.0	1	1	100	2	4	6	6	2	2	2	2	-16	44.2
Michael Porter Jr.	DEN	DEN @ CHI	01/27/2025	L	32	18	7	15	46.7	2	8	25.0	2	2	100	2	5	7	0	1	0	2	2	1	27.4
Julian Strawther	DEN	DEN @ CHI	01/27/2025	L	15	0	0	4	0.0	0	2	0.0	0	0	-	1	1	2	0	1	0	0	2	-15	5.4
Peyton Watson	DEN	DEN @ CHI	01/27/2025	L	24	4	2	6	33.3	0	1	0.0	0	0	-	1	4	5	3	3	1	2	0	-12	24.5
