PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Alec Burks	MIA	MIA vs. WAS	03/03/2025	W	26	9	3	7	42.9	3	7	42.9	0	0	-	0	3	3	1	1	0	1	3	0	16.1
Kevin Love	MIA	MIA vs. WAS	03/03/2025	W	12	2	1	4	25.0	0	2	0.0	0	0	-	1	8	9	1	0	0	0	0	-4	14.3
Bam Adebayo	MIA	MIA vs. WAS	03/03/2025	W	31	19	7	16	43.8	0	2	0.0	5	6	83.3	3	12	15	5	2	1	2	1	11	51.5
Tyler Herro	MIA	MIA vs. WAS	03/03/2025	W	26	16	6	10	60.0	3	5	60.0	1	1	100	0	3	3	6	1	1	3	1	4	31.6
Kyle Anderson	MIA	MIA vs. WAS	03/03/2025	W	25	4	2	4	50.0	0	1	0.0	0	0	-	0	3	3	5	3	2	1	2	18	29.1
Terry Rozier	MIA	MIA vs. WAS	03/03/2025	W	35	15	5	12	41.7	1	7	14.3	4	4	100	0	5	5	5	1	0	3	2	11	28.5
Duncan Robinson	MIA	MIA vs. WAS	03/03/2025	W	30	17	7	13	53.8	3	7	42.9	0	0	-	0	3	3	1	1	0	0	1	21	25.1
Haywood Highsmith	MIA	MIA vs. WAS	03/03/2025	W	26	8	2	5	40.0	2	2	100	2	2	100	0	3	3	2	1	0	0	4	6	17.6
Pelle Larsson	MIA	MIA vs. WAS	03/03/2025	W	28	16	6	11	54.5	1	4	25.0	3	5	60.0	1	3	4	5	0	0	1	5	13	27.3
Alec Burks	MIA	MIA vs. NYK	03/02/2025	L	25	12	4	5	80.0	4	5	80.0	0	0	-	0	3	3	3	1	0	1	0	6	22.1
Terry Rozier	MIA	MIA vs. NYK	03/02/2025	L	16	5	2	6	33.3	0	2	0.0	1	2	50.0	0	1	1	3	1	0	0	0	-8	13.7
Duncan Robinson	MIA	MIA vs. NYK	03/02/2025	L	32	10	4	10	40.0	2	6	33.3	0	0	-	0	3	3	5	0	0	1	1	-2	20.1
Bam Adebayo	MIA	MIA vs. NYK	03/02/2025	L	42	30	12	16	75.0	0	2	0.0	6	8	75.0	2	5	7	4	1	0	3	4	-1	44.4
Haywood Highsmith	MIA	MIA vs. NYK	03/02/2025	L	37	8	3	5	60.0	2	4	50.0	0	0	-	0	2	2	1	0	0	2	4	-11	9.9
Tyler Herro	MIA	MIA vs. NYK	03/02/2025	L	41	22	8	24	33.3	2	11	18.2	4	4	100	0	4	4	7	0	0	0	1	-6	37.3
Davion Mitchell	MIA	MIA vs. NYK	03/02/2025	L	37	11	5	9	55.6	1	4	25.0	0	2	0.0	0	4	4	5	2	0	3	3	4	26.3
Kel'el Ware	MIA	MIA vs. NYK	03/02/2025	L	29	12	6	7	85.7	0	1	0.0	0	0	-	1	7	8	0	0	6	2	2	0	37.6
Jaime Jaquez Jr.	MIA	MIA vs. IND	02/28/2025	W	14	11	4	4	100	1	1	100	2	2	100	2	2	4	1	1	0	2	0	-1	18.3
Davion Mitchell	MIA	MIA vs. IND	02/28/2025	W	37	10	3	7	42.9	2	2	100	2	2	100	2	1	3	8	1	1	3	2	6	28.6
Tyler Herro	MIA	MIA vs. IND	02/28/2025	W	34	29	11	25	44.0	3	10	30.0	4	5	80.0	2	1	3	7	0	1	1	1	8	45.1
Duncan Robinson	MIA	MIA vs. IND	02/28/2025	W	29	20	8	10	80.0	4	6	66.7	0	0	-	0	2	2	5	1	0	2	1	0	30.9
Bam Adebayo	MIA	MIA vs. IND	02/28/2025	W	31	18	8	14	57.1	2	4	50.0	0	0	-	2	5	7	7	2	0	0	1	-2	42.9
Alec Burks	MIA	MIA vs. IND	02/28/2025	W	21	13	5	9	55.6	3	5	60.0	0	0	-	0	3	3	1	0	0	3	1	12	15.1
Terry Rozier	MIA	MIA vs. IND	02/28/2025	W	11	4	2	5	40.0	0	0	-	0	0	-	0	1	1	3	0	0	0	2	-1	9.7
Haywood Highsmith	MIA	MIA vs. IND	02/28/2025	W	29	9	4	6	66.7	1	3	33.3	0	0	-	1	2	3	1	1	2	0	2	2	23.1
Kel'el Ware	MIA	MIA vs. IND	02/28/2025	W	28	8	2	3	66.7	0	0	-	4	4	100	3	9	12	0	1	0	2	0	7	23.4
Tyler Herro	MIA	MIA vs. ATL	02/26/2025	W	34	24	7	16	43.8	4	8	50.0	6	7	85.7	0	2	2	10	3	0	2	1	9	48.4
Kel'el Ware	MIA	MIA vs. ATL	02/26/2025	W	29	12	5	6	83.3	2	2	100	0	0	-	1	7	8	2	2	0	1	3	8	29.6
Andrew Wiggins	MIA	MIA vs. ATL	02/26/2025	W	29	15	3	9	33.3	1	5	20.0	8	10	80.0	0	2	2	6	2	0	3	0	9	29.4
Bam Adebayo	MIA	MIA vs. ATL	02/26/2025	W	35	20	9	12	75.0	1	2	50.0	1	2	50.0	1	8	9	3	0	1	2	4	16	36.3
Duncan Robinson	MIA	MIA vs. ATL	02/26/2025	W	33	24	9	16	56.3	6	13	46.2	0	0	-	1	4	5	6	0	0	3	0	27	36.0
Haywood Highsmith	MIA	MIA vs. ATL	02/26/2025	W	27	14	4	5	80.0	4	5	80.0	2	2	100	4	3	7	5	1	1	0	3	31	35.9
Davion Mitchell	MIA	MIA vs. ATL	02/26/2025	W	37	20	7	8	87.5	5	5	100	1	1	100	0	0	0	6	2	0	2	1	11	33.0
Tyler Herro	MIA	MIA @ ATL	02/24/2025	L	35	11	4	19	21.1	0	9	0.0	3	3	100	0	6	6	3	2	0	4	0	-4	24.7
Davion Mitchell	MIA	MIA @ ATL	02/24/2025	L	24	6	3	6	50.0	0	3	0.0	0	0	-	1	0	1	2	1	0	2	0	-5	11.2
Kel'el Ware	MIA	MIA @ ATL	02/24/2025	L	24	8	4	7	57.1	0	2	0.0	0	1	0.0	5	10	15	3	0	1	0	2	-5	33.5
Alec Burks	MIA	MIA @ ATL	02/24/2025	L	27	5	1	12	8.3	1	8	12.5	2	2	100	1	4	5	1	2	0	0	1	-13	18.5
Kyle Anderson	MIA	MIA @ ATL	02/24/2025	L	28	14	2	4	50.0	1	1	100	9	10	90.0	2	3	5	2	0	0	1	3	2	22.0
Andrew Wiggins	MIA	MIA @ ATL	02/24/2025	L	36	23	6	14	42.9	4	9	44.4	7	7	100	2	2	4	1	0	3	3	1	-17	35.3
Bam Adebayo	MIA	MIA @ ATL	02/24/2025	L	37	14	5	13	38.5	0	2	0.0	4	4	100	3	2	5	1	2	0	4	1	-15	23.5
Duncan Robinson	MIA	MIA @ ATL	02/24/2025	L	21	3	1	6	16.7	1	5	20.0	0	0	-	0	3	3	2	1	0	3	1	3	9.6
Kel'el Ware	MIA	MIA @ MIL	02/23/2025	L	37	12	6	10	60.0	0	2	0.0	0	0	-	4	8	12	4	0	1	1	4	-1	34.4
Duncan Robinson	MIA	MIA @ MIL	02/23/2025	L	21	3	1	3	33.3	1	3	33.3	0	0	-	0	4	4	0	0	0	2	4	-4	5.8
Terry Rozier	MIA	MIA @ MIL	02/23/2025	L	10	2	0	4	0.0	0	2	0.0	2	2	100	0	2	2	0	0	0	0	0	-7	4.4
Andrew Wiggins	MIA	MIA @ MIL	02/23/2025	L	40	20	7	20	35.0	1	5	20.0	5	7	71.4	2	4	6	4	1	1	4	3	-15	35.2
Nikola Jović	MIA	MIA @ MIL	02/23/2025	L	15	7	3	4	75.0	1	2	50.0	0	0	-	0	2	2	0	0	0	0	2	10	9.4
Davion Mitchell	MIA	MIA @ MIL	02/23/2025	L	34	5	2	4	50.0	1	3	33.3	0	0	-	1	3	4	5	1	1	0	4	2	23.3
Tyler Herro	MIA	MIA @ MIL	02/23/2025	L	40	40	12	27	44.4	3	12	25.0	13	14	92.9	1	6	7	11	0	0	2	1	7	62.9
Bam Adebayo	MIA	MIA @ MIL	02/23/2025	L	35	24	10	16	62.5	2	2	100	2	3	66.7	2	5	7	1	1	0	0	4	-16	36.9
Tyler Herro	MIA	MIA @ TOR	02/21/2025	W	40	28	10	18	55.6	4	9	44.4	4	4	100	0	3	3	7	0	1	3	0	13	42.1
Davion Mitchell	MIA	MIA @ TOR	02/21/2025	W	34	16	6	9	66.7	3	5	60.0	1	2	50.0	0	2	2	1	1	0	2	3	6	20.9
Nikola Jović	MIA	MIA @ TOR	02/21/2025	W	35	7	3	7	42.9	1	4	25.0	0	0	-	1	4	5	5	2	1	0	4	6	29.5
Bam Adebayo	MIA	MIA @ TOR	02/21/2025	W	37	19	8	13	61.5	0	1	0.0	3	4	75.0	3	9	12	1	0	0	0	4	3	34.9
Andrew Wiggins	MIA	MIA @ TOR	02/21/2025	W	42	25	9	19	47.4	2	6	33.3	5	6	83.3	2	6	8	1	2	0	3	3	8	39.1
Kyle Anderson	MIA	MIA @ TOR	02/21/2025	W	11	2	1	4	25.0	0	1	0.0	0	0	-	1	1	2	3	0	0	1	2	4	7.9
Terry Rozier	MIA	MIA @ TOR	02/21/2025	W	16	5	2	4	50.0	1	2	50.0	0	0	-	0	2	2	1	1	0	0	1	-2	11.9
Duncan Robinson	MIA	MIA @ TOR	02/21/2025	W	23	14	5	9	55.6	2	6	33.3	2	2	100	0	3	3	0	1	0	0	3	-2	20.6
Kel'el Ware	MIA	MIA @ TOR	02/21/2025	W	21	4	2	7	28.6	0	2	0.0	0	0	-	1	5	6	1	1	1	3	2	9	15.7
Tyler Herro	MIA	MIA @ DAL	02/13/2025	L	37	40	15	30	50.0	3	14	21.4	7	9	77.8	1	7	8	3	3	0	3	1	-8	60.1
Jaime Jaquez Jr.	MIA	MIA @ DAL	02/13/2025	L	23	6	3	7	42.9	0	1	0.0	0	0	-	2	4	6	3	2	0	3	0	-1	20.7
Pelle Larsson	MIA	MIA @ DAL	02/13/2025	L	10	3	1	1	100	1	1	100	0	0	-	0	0	0	0	0	0	0	4	-12	3.0
Kel'el Ware	MIA	MIA @ DAL	02/13/2025	L	32	17	8	14	57.1	0	3	0.0	1	2	50.0	5	4	9	1	1	1	2	2	-8	33.3
Nikola Jović	MIA	MIA @ DAL	02/13/2025	L	25	6	3	11	27.3	0	4	0.0	0	0	-	0	1	1	1	0	0	2	1	-6	6.7
Davion Mitchell	MIA	MIA @ DAL	02/13/2025	L	38	5	1	4	25.0	1	1	100	2	2	100	0	0	0	4	2	1	1	1	-11	19.0
Duncan Robinson	MIA	MIA @ DAL	02/13/2025	L	20	9	3	7	42.9	3	7	42.9	0	0	-	0	1	1	4	0	0	1	1	10	15.2
Kyle Anderson	MIA	MIA @ DAL	02/13/2025	L	27	15	6	10	60.0	0	0	-	3	6	50.0	6	4	10	3	0	2	0	3	13	37.5
